"","predictors","vif_value"
"1","X2014_EBITTA_ln",4.30794613520419
"2","X2014_CFD_nm",3.83540178641031
"3","X2014_ER_nm",3.79203377599111
"4","X2014_F15100_ln",3.35752300337827
"5","X2014_EBITDA_ln",3.2632582543246
"6","X2014_F10300_ln",2.73406923658733
"7","X2014_F10200_ln",2.71134671310073
"8","X2014_EBITIE_ln",2.57241858140348
"9","X2014_F07001_nm",2.31397981517861
"10","X2014_COGSSALES_ln",2.14383192013914
"11","X2014_LEV_nm",1.86868863151343
"12","X2014_F12000",1.80068323305831
"13","X2014_CFS_nm",1.46665836358554
"14","X2014_F16200",1.41846778216672
"15","X2014_EC_ln",1.28013703155734
"16","X2014_F01000",1.09432721611211
"17","X2014_IOL",0.853410283247306
"18","X2014_EBITIE_nm",0.822105800517363
"19","X2014_WCTA",0.712647674864764
"20","X2014_TC_nm",0.513436503919469
"21","X2014_EBITS_nm",0.354550497753187
"22","X2014_NT_nm",0.313260695948495
"23","X2014_LD.LDE",0.311848099936201
"24","X2014_EBITS",0.159998176286145
"25","X2014_RETA_nm",0.155598612706187
"26","X2014_TOD_nm",0.117658819049053
"27","X2014_F08000_nm",0.100098430699451
"28","X2014_TATL",0.0511519141863764
"29","X2014_F15300_nm",0.0452874246337524
"30","X2014_EBITDATA_nm",0.038847175041986
"31","X2014_ROS",0.0241453127550697
"32","X2014_ITA_nm",0.0218716430648607
"33","X2014_V16140_nm",0.0208839667779119
"34","X2014_DEB_nm",0.018041896664361
"35","X2014_ROI",0.0114193294527288
"36","X2014_EBITTA_nm",0.0108808425975878
"37","X2014_NITA",0.0101470975565765
"38","X2014_F05520_nm",0.00852218302505134
"39","X2014_CTA_nm",0.00583020224605911
"40","X2014_CNS_nm",0.00566318890266254
"41","X2014_STA_nm",0.00517122259267877
"42","X2014_F05510_ln",0.00379007931938629
"43","X2014_F16300_nm",0.0037256606824765
"44","X2014_F05200_nm",0.00353595417965404
"45","X2014_F05400_nm",0.00334190250431145
"46","X2014_F05300_nm",0.00334120197849405
"47","X2014_F05510_nm",0.00333955133467413
"48","X2014_F03400_ln",0.00327321048207435
"49","X2014_F05600_ln",0.00314955124176606
"50","X2014_F12000_nm",0.00309948300914302
"51","X2014_F05100_nm",0.0029526772106932
"52","X2014_RETA",0.0028992071628091
"53","X2014_F03100_nm",0.00259794387692503
"54","X2014_CAPAS",0.00249176513599105
"55","X2014_F03200_nm",0.0022229110551365
"56","X2014_F04000_nm",0.00221408027701339
"57","X2014_F03300_nm",0.00221310095316794
"58","X2014_F03400_nm",0.00221305113680941
"59","X2014_F02400_nm",0.00221228158777816
"60","X2014_F05100_ln",0.00215589613713331
"61","X2014_F07001_ln",0.00210162171344339
"62","X2014_F10200_nm",0.00175186868878341
"63","X2014_STDE_nm",0.00150156830284525
"64","X2014_F05600_nm",0.00135135550052521
"65","X2014_F06000_nm",0.00114846566952744
"66","X2014_F10500_nm",0.000973713789129579
"67","X2014_F11200_nm",0.000833805342331463
"68","X2014_F15200_nm",0.000817961434929813
"69","X2014_F10100_nm",0.000810315619461616
"70","X2014_F10400_nm",0.00073803850836138
"71","X2014_F11100_nm",0.000727399627015061
"72","X2014_F10300_nm",0.000716564583999989
"73","X2014_F15100_nm",0.000715218415181967
"74","X2014_EBIT_nm",0.000689950267855785
"75","X2014_F02100_nm",0.000353743766275304
"76","X2014_F02300_nm",0.00034410224754864
"77","X2014_F15400_nm",0.000338541028804564
"78","X2014_F02200_nm",0.000327207911603974
"79","X2014_F16100_nm",0.000327035808843691
"80","X2014_F01000_nm",0.000326489034851271
"81","X2014_F17000_nm",0.000326485825305692
"82","X2014_F16200_nm",0.000325944677732857
"83","X2014_V16140_ln",0.000281684932657551
"84","X2014_WCTA_nm",7.68491433257551e-05
"85","X2014_AL_nm",7.41003486070224e-05
"86","X2014_GL_nm",6.92049691152446e-05
"87","X2014_ITA",4.66070135774021e-05
"88","X2014_NITA_nm",3.36620000779944e-05
"89","X2014_CNS",2.91429478091909e-05
"90","X2014_COGSSALES",1.0784269226247e-05
"91","X2014_CTA",4.02674808051298e-06
"92","X2014_ROL",1.7037510128621e-06
"93","X2014_ROI_nm",1.39015154432953e-06
"94","X2014_ER",3.90121881220653e-07
"95","X2014_EBITDA_nm",2.53476298687805e-07
"96","X2014_NET_nm",1.82974907486836e-07
"97","X2014_COGSSALES_nm",1.27596550376206e-07
"98","X2014_EC",1.86025396552849e-08
